Scrip,Sector,Segment,Market Cap (Cr),LCP,Return %,Sharpe Return,Volar,Retracement %,RSI
ALPHA,ETF - Alpha, ,0.00,49.28,13.47%,2.65%,15.59%,6.91%,50.97%
AUTOBEES,ETF - Auto, ,0.00,293.27,31.78%,3.16%,39.82%,2.22%,55.26%
BANKBEES,ETF - Bank, ,0.00,631.38,23.91%,4.06%,43.84%,1.19%,55.30%
CPSEETF,ETF - CPSE, ,0.00,103.17,30.73%,6.04%,40.10%,1.74%,54.71%
GOLDBEES,ETF - GOLD, ,0.00,131.47,80.76%,4.32%,72.78%,11.25%,59.90%
HDFCSILVER,ETF - SILVER, ,0.00,251.51,165.75%,4.05%,79.06%,29.94%,57.23%
JUNIORBEES,ETF - Next 50, ,0.00,758.50,17.79%,3.95%,25.81%,2.38%,52.72%
LIQUIDCASE,ETF - Liquid Assets, ,0.00,112.89,5.41%,3.60%,257.82%,0.17%,99.72%
LTGILTBEES,ETF - Fixed Income, ,0.00,29.37,6.64%,4.44%,52.90%,2.52%,59.71%
MID150BEES,ETF - MidCap, ,0.00,227.70,18.50%,3.18%,26.69%,4.84%,52.97%
MIDCAPETF,ETF - MidCap, ,0.00,22.55,19.25%,3.29%,26.38%,4.49%,52.93%
MODEFENCE,ETF - Defence, ,0.00,89.24,52.29%,4.60%,41.43%,12.51%,51.59%
MON100,ETF - NASDAQ 100, ,0.00,231.43,12.21%,1.02%,13.12%,10.58%,54.51%
NIFTYBEES,ETF - Top 50, ,0.00,289.30,12.62%,2.90%,24.48%,4.28%,53.02%
PHARMABEES,ETF - Pharma, ,0.00,23.99,12.73%,3.78%,18.84%,9.54%,53.65%
PSUBNKBEES,ETF - PSU Bank, ,0.00,109.35,65.01%,4.80%,62.40%,0.95%,57.34%
