Scrip,Sector,Segment,Market Cap (Cr),LCP,Return %,Sharpe Return,Volar,Retracement %,RSI
ALPHA,ETF - Alpha, ,0.00,49.24,13.38%,2.63%,15.49%,6.99%,50.95%
AUTOBEES,ETF - Auto, ,0.00,292.69,31.52%,3.14%,39.53%,2.41%,55.21%
BANKBEES,ETF - Bank, ,0.00,630.66,23.77%,4.03%,43.62%,1.30%,55.26%
CPSEETF,ETF - CPSE, ,0.00,103.04,30.56%,6.01%,39.86%,1.87%,54.67%
GOLDBEES,ETF - GOLD, ,0.00,131.44,80.72%,4.31%,72.74%,11.27%,59.89%
HDFCSILVER,ETF - SILVER, ,0.00,251.81,166.07%,4.05%,79.23%,29.86%,57.25%
JUNIORBEES,ETF - Next 50, ,0.00,758.00,17.71%,3.93%,25.70%,2.45%,52.70%
LIQUIDCASE,ETF - Liquid Assets, ,0.00,112.91,5.42%,3.62%,257.85%,0.15%,99.72%
LTGILTBEES,ETF - Fixed Income, ,0.00,29.37,6.64%,4.44%,52.90%,2.52%,59.71%
MID150BEES,ETF - MidCap, ,0.00,227.59,18.44%,3.17%,26.62%,4.89%,52.96%
MIDCAPETF,ETF - MidCap, ,0.00,22.54,19.20%,3.28%,26.32%,4.53%,52.92%
MODEFENCE,ETF - Defence, ,0.00,89.00,51.88%,4.57%,41.14%,12.75%,51.55%
MON100,ETF - NASDAQ 100, ,0.00,231.43,12.21%,1.02%,13.12%,10.58%,54.51%
PHARMABEES,ETF - Pharma, ,0.00,23.97,12.64%,3.75%,18.71%,9.62%,53.62%
PSUBNKBEES,ETF - PSU Bank, ,0.00,109.35,65.01%,4.80%,62.40%,0.95%,57.34%
SETFGOLD,ETF - GOLD, ,0.00,135.49,80.51%,4.29%,74.78%,11.99%,60.15%
SILVERBEES,ETF - SILVER, ,0.00,251.70,166.18%,4.07%,82.33%,30.08%,57.45%
