Scrip,Sector,Segment,Market Cap (Cr),LCP,Return %,Sharpe Return,Volar,Retracement %,RSI
AJANTPHARM,Pharma,Midcap 150 Index,37871.00,3031.30,,,6.85%,13.02%,53.01%
APARINDS,Electric Equipments,Midcap 150 Index,42445.00,10567.00,,,34.06%,10.30%,53.95%
APLAPOLLO,Metals - Steel - Iron Products,Midcap 150 Index,61715.00,2222.90,,,55.83%,3.41%,55.68%
ASHOKLEY,Auto,Midcap 150 Index,124699.00,212.31,,,67.91%,1.44%,59.52%
BHARATFORG,Forgings,Midcap 150 Index,90636.00,1895.80,,,51.26%,0.73%,56.74%
CUMMINSIND,Engg - Industrial Equipments,Midcap 150 Index,137003.00,4942.40,,,66.44%,0.59%,56.53%
FEDERALBNK,Banks,Midcap 150 Index,73929.00,300.60,,,63.39%,0.36%,58.54%
FORTIS,Hospital - Healthcare Services,Midcap 150 Index,72438.00,959.50,,,42.79%,13.11%,54.76%
GLAXO,Pharma,Midcap 150 Index,44685.00,2637.80,,,3.40%,24.97%,50.78%
GLENMARK,Pharma,Midcap 150 Index,60162.00,2131.90,,,42.76%,6.69%,55.15%
GMRAIRPORT,Travel,Midcap 150 Index,108514.00,102.77,,,36.97%,23.82%,53.04%
GVT&D,Electric Equipments,Midcap 150 Index,99653.00,3892.00,,,87.84%,0.13%,57.93%
INDIANB,Banks,Midcap 150 Index,132985.00,987.30,,,69.17%,1.07%,57.74%
IPCALAB,Pharma,Midcap 150 Index,39154.00,1543.30,,,3.43%,12.11%,52.00%
KEI,Cable,Midcap 150 Index,47781.00,4998.00,,,25.96%,0.83%,54.33%
LLOYDSME,Metals - Steel - Iron Products,Midcap 150 Index,68543.00,1302.00,,,6.08%,19.23%,51.91%
LUPIN,Pharma,Midcap 150 Index,105981.00,2320.30,,,15.74%,3.44%,54.13%
MAHABANK,Banks,Midcap 150 Index,57463.00,74.71,,,37.39%,21.56%,54.92%
MARICO,Food,Midcap 150 Index,104724.00,806.85,,,30.04%,0.82%,54.12%
MFSL,Finance - Investment - Management,Midcap 150 Index,64288.00,1862.80,,,70.43%,1.57%,56.40%
PETRONET,Chemicals,Midcap 150 Index,47309.00,315.40,,,7.22%,16.38%,51.82%
POLYCAB,Cable,Midcap 150 Index,126966.00,8434.50,,,36.71%,0.52%,54.51%
POWERINDIA,Electric Equipments,Midcap 150 Index,112759.00,25298.00,,,61.89%,0.28%,56.06%
SCHAEFFLER,Bearings,Midcap 150 Index,67948.00,4347.20,,,30.49%,12.20%,52.66%
TORNTPOWER,Power,Midcap 150 Index,79017.00,1568.10,,,17.80%,23.02%,52.44%
VOLTAS,Consumer Durables,Midcap 150 Index,51121.00,1545.00,,,15.34%,20.56%,52.01%
